testimony_id,interviewee_year_of_birth
HVT-1567,1930
HVT-1568,1912
HVT-1569,1903
HVT-1570,1915
HVT-1571,1924
HVT-1572,1911
HVT-1573,1917
HVT-1574,1924
HVT-1575,1928
HVT-1576,1927
HVT-1577,1927
HVT-1578,1941
HVT-1579,1926
HVT-1580,1917
HVT-1581,1921
HVT-1582,1920
HVT-1583,1909
HVT-1584,1925
HVT-1585,1922
HVT-1586,1929
HVT-1587,1927
HVT-1588,1924
HVT-1589,1911
HVT-1590,
HVT-1591,1921
HVT-1592,1926
HVT-1593,1930
HVT-1594,1923
HVT-1595,1924
HVT-1596,1911
HVT-1597,1919
HVT-1598,1933
HVT-1599,1922
HVT-1600,1920
HVT-1601,1914
HVT-1602,1921
HVT-1603,1914
HVT-1604,1910
HVT-1605,1941
HVT-1606,
HVT-1607,1914
HVT-1608,1932
HVT-1609,1925
HVT-1610,1934
HVT-1611,1921
HVT-1612,1922
HVT-1613,1915
HVT-1614,1921
HVT-1615,1926
HVT-1616,1923
HVT-1617,
HVT-1618,1920
HVT-1619,
HVT-1620,1914
HVT-1621,1935
HVT-1622,1919
HVT-1623,1918
HVT-1624,1912
HVT-1625,1927
HVT-1626,1925
HVT-1627,1914
HVT-1628,1927
HVT-1629,1922
HVT-1630,1914
HVT-1631,
HVT-1632,1934
HVT-1633,1920
HVT-1634,1939
HVT-1635,1911
HVT-1636,1922
HVT-1637,1896
HVT-1638,1923
HVT-1639,1924
HVT-1640,1917
HVT-1641,1913
HVT-1642,1910
HVT-1643,1918
HVT-1644,1935
HVT-1645,1925
HVT-1646,1935
HVT-1647,1925
HVT-1648,1930
HVT-1649,1930
HVT-1650,1928
HVT-1651,1917
HVT-1652,1929
HVT-1653,1927
HVT-1654,1935
HVT-1655,1927
HVT-1656,1926
HVT-1657,1935
HVT-1658,1924
HVT-1659,1921
HVT-1660,1925
HVT-1661,1935
HVT-1662,1909
HVT-1663,1921
HVT-1664,1914
HVT-1665,1922
HVT-1666,1915
HVT-1667,1938
HVT-1668,1917
HVT-1669,1909
HVT-1670,1921
HVT-1671,1938
HVT-1672,1911
HVT-1673,1933
HVT-1674,1922
HVT-1675,1910
HVT-1676,1922
HVT-1677,1929
HVT-1678,1923
HVT-1679,1932
HVT-1680,1920
HVT-1681,1912
HVT-1682,1919
HVT-1683,1920
HVT-1684,1941
HVT-1685,1925
HVT-1686,1927
HVT-1687,1921
HVT-1688,1918
HVT-1689,1922
HVT-1690,1935
HVT-1691,1929
HVT-1692,1925
HVT-1693,1922
HVT-1694,1926
HVT-1695,1933
HVT-1696,1923
HVT-1697,1925
HVT-1698,1919
HVT-1699,1926
HVT-1700,1937
HVT-1701,1921
HVT-1702,1908
HVT-1703,1923
HVT-1704,1928
HVT-1705,1925
HVT-1706,1909
HVT-1707,1924
HVT-1708,
HVT-1709,1919
HVT-1710,1920
HVT-1711,1924
HVT-1712,1922
HVT-1713,1934
HVT-1714,
HVT-1715,1917
HVT-1716,1912
HVT-1717,1915
HVT-1718,1917
HVT-1719,1912
HVT-1720,1923
HVT-1721,1922
HVT-1722,1926
HVT-1723,1929
HVT-1724,1912
HVT-1725,1913
HVT-1726,1915
HVT-1727,1927
HVT-1728,1922
HVT-1729,1926
HVT-1730,1910
HVT-1731,1924
HVT-1732,1934
HVT-1733,1937
HVT-1734,1925
HVT-1735,1925
HVT-1736,1924
HVT-1737,1912
HVT-1738,1922
HVT-1739,1921
HVT-1740,1927
HVT-1741,1927
HVT-1742,1917
HVT-1743,1932
HVT-1744,1927
HVT-1745,1925
HVT-1746,1927
HVT-1747,1931
HVT-1748,1934
HVT-1749,1931
HVT-1750,1926
HVT-1751,1924
HVT-1752,1923
HVT-1753,1921
HVT-1754,1924
HVT-1755,1909
HVT-1756,1925
HVT-1757,1925
HVT-1758,1912
HVT-1759,1926
HVT-1760,1924
HVT-1761,1924
HVT-1762,1926
HVT-1763,1922
HVT-1764,1925
HVT-1765,1925
HVT-1767,1932
HVT-1768,1908
HVT-1769,1925
HVT-1770,1906
HVT-1771,1925
HVT-1772,1928
HVT-1773,1935
HVT-1774,
HVT-1775,
HVT-1776,1912
HVT-1777,1908
HVT-1778,1928
HVT-1779,1928
HVT-1780,1934
HVT-1781,1917
HVT-1782,1924
HVT-1783,1927
HVT-1784,1920
HVT-1785,1912
HVT-1786,1924
HVT-1787,1922
HVT-1788,1924
HVT-1789,1931
HVT-1790,1939
HVT-1791,1934
HVT-1792,1935
HVT-1793,1907
HVT-1794,1939
HVT-1795,1929
HVT-1796,1928
HVT-1797,1934
HVT-1798,1925
HVT-1799,1932
HVT-1800,1936
HVT-1801,
HVT-1802,1921
HVT-1803,1922
HVT-1804,1928
HVT-1805,
HVT-1806,1929
HVT-1807,1925
HVT-1808,1921
HVT-1809,1923
HVT-1810,
HVT-1811,
HVT-1812,1924
HVT-1813,
HVT-1814,
HVT-1815,1934
HVT-1816,1921
HVT-1817,1917
HVT-1818,1920
HVT-1819,1914
HVT-1820,
HVT-1821,
HVT-1822,
HVT-1823,1928
HVT-1824,1921
HVT-1825,1927
HVT-1826,
HVT-1827,
HVT-1828,
HVT-1829,1910
HVT-1830,1935
HVT-1831,1927
HVT-1832,1921
HVT-1833,
HVT-1834,1922
HVT-1835,
HVT-1836,1912
HVT-1837,1918
HVT-1838,1923
HVT-1839,
HVT-1840,1920
HVT-1841,1924
HVT-1842,
HVT-1843,1931
HVT-1844,1921
HVT-1845,1917
HVT-1846,1928
HVT-1847,1926
HVT-1848,1924
HVT-1849,1924
HVT-1850,1925
HVT-1851,1926
HVT-1852,1939
HVT-1853,1933
HVT-1854,1937
HVT-1855,1933
HVT-1856,1937
HVT-1857,1935
HVT-1858,1928
HVT-1859,1922
HVT-1860,1923
HVT-1861,1938
HVT-1862,1935
HVT-1863,1904
HVT-1864,1937
HVT-1865,1925
HVT-1866,1922
HVT-1867,1908
HVT-1868,1941
HVT-1869,1925
HVT-1870,1931
HVT-1872,1923
HVT-1873,1936
HVT-1874,1924
HVT-1875,1917
HVT-1876,1920
HVT-1877,1908
HVT-1878,1922
HVT-1879,1932
HVT-1880,1922
HVT-1881,1938
HVT-1882,1914
HVT-1883,1928
HVT-1884,1920
HVT-1885,1913
HVT-1886,1907
HVT-1887,1929
HVT-1888,1923
HVT-1889,1921
HVT-1890,1921
HVT-1891,1923
HVT-1892,1926
HVT-1893,1924
HVT-1894,1927
HVT-1895,1908
HVT-1896,1914
HVT-1897,1922
HVT-1898,1924
HVT-1899,1923
HVT-1900,1920
HVT-1901,1921
HVT-1902,1915
HVT-1903,1927
HVT-1904,1913
HVT-1905,1929
HVT-1907,1938
HVT-1908,1929
HVT-1909,1924
HVT-1910,1918
HVT-1911,1910
HVT-1912,1908
HVT-1913,1918
HVT-1914,1915
HVT-1915,1923
HVT-1916,1918
HVT-1917,1917
HVT-1918,1921
HVT-1919,1926
HVT-1920,1914
HVT-1921,1923
HVT-1922,1927
HVT-1923,1924
HVT-1924,1925
HVT-1925,1930
HVT-1926,1924
HVT-1927,1921
HVT-1928,1922
HVT-1929,1917
HVT-1930,
HVT-1931,1919
HVT-1932,1923
HVT-1933,1930
HVT-1934,
HVT-1935,1924
HVT-1936,1918
HVT-1937,1921
HVT-1938,1920
HVT-1939,1922
HVT-1940,1926
HVT-1941,1923
HVT-1942,1922
HVT-1943,1923
HVT-1944,1926
HVT-1945,1923
HVT-1946,1925
HVT-1947,1912
HVT-1948,
HVT-1949,1915
HVT-1950,1905
HVT-1951,1926
HVT-1952,1924
HVT-1953,1933
HVT-1954,1925
HVT-1955,1928
HVT-1956,1913
HVT-1957,1916
HVT-1958,1941
HVT-1959,1927
HVT-1960,1920
HVT-1961,1932
HVT-1962,1931
HVT-1963,1922
HVT-1964,1936
HVT-1965,1922
HVT-1966,1922
HVT-1967,1923
HVT-1968,1925
HVT-1969,1932
HVT-1970,1924
HVT-1971,1944
HVT-1972,1924
HVT-1973,1924
HVT-1974,1925
HVT-1975,1916
HVT-1976,1908
HVT-1977,1920
HVT-1978,1920
HVT-1979,1923
HVT-1980,1921
HVT-1981,1913
HVT-1982,1931
HVT-1983,1912
HVT-1984,1926
HVT-1985,1923
HVT-1986,1927
HVT-1987,1929
HVT-1988,1923
HVT-1989,1929
HVT-1990,1922
HVT-1991,1933
HVT-1992,1900
HVT-1993,1934
HVT-1994,1919
HVT-1995,1924
HVT-1996,1934
HVT-1997,1930
HVT-1998,
HVT-1999,1917
HVT-2000,1930
HVT-2001,1924
HVT-2002,1921
HVT-2003,1916
HVT-2004,1918
HVT-2005,1925
HVT-2006,1931
HVT-2007,1917
HVT-2008,1927
HVT-2009,1929
HVT-2010,1914
HVT-2011,1930
HVT-2012,1919
HVT-2013,1924
HVT-2014,1930
HVT-2015,1913
HVT-2016,1915
HVT-2017,1926
HVT-2018,1921
HVT-2019,1923
HVT-2020,1923
HVT-2021,1920
HVT-2022,1938
HVT-2023,1927
HVT-2024,1915
HVT-2025,1927
HVT-2026,1920
HVT-2027,1915
HVT-2028,
HVT-2029,1929
HVT-2030,1932
HVT-2031,1916
HVT-2032,1921
HVT-2033,1908
HVT-2034,1925
HVT-2035,1914
HVT-2036,1925
HVT-2037,1922
HVT-2038,
HVT-2039,1925
HVT-2040,1920
HVT-2041,1920
HVT-2042,1930
HVT-2043,1938
HVT-2044,1907
HVT-2045,1922
HVT-2046,1919
HVT-2047,1925
HVT-2048,1924
HVT-2049,1921
HVT-2051,1924
HVT-2052,1923
HVT-2053,1924
HVT-2054,1922
HVT-2055,1926
HVT-2056,1921
HVT-2057,1903
HVT-2058,1913
HVT-2059,1920
HVT-2060,1925
HVT-2061,1930
HVT-2062,1929
HVT-2063,1920
HVT-2064,1919
HVT-2065,1923
HVT-2066,1920
HVT-2067,1928
HVT-2068,1934
HVT-2069,1923
HVT-2070,1913
HVT-2071,1922
HVT-2072,1914
HVT-2073,1922
HVT-2074,1927
HVT-2075,1911
HVT-2076,1917
HVT-2077,1925
HVT-2078,1919
HVT-2079,1925
HVT-2080,1914
HVT-2081,1927
HVT-2082,1925
HVT-2083,1924
HVT-2084,1922
HVT-2085,1916
HVT-2086,1928
HVT-2087,1931
HVT-2088,1917
HVT-2089,
HVT-2090,1928
HVT-2091,1923
HVT-2092,1914
HVT-2093,1921
HVT-2094,1927
HVT-2095,1918
HVT-2096,1925
HVT-2097,1921
HVT-2098,1915
HVT-2099,1908
HVT-2100,1926
HVT-2101,1922
HVT-2102,1923
HVT-2103,1925
HVT-2104,1932
HVT-2105,1926
HVT-2106,1926
HVT-2107,1929
HVT-2108,1929
HVT-2109,1927
HVT-2110,1927
HVT-2111,1928
HVT-2112,1927
HVT-2113,1924
HVT-2114,1925
HVT-2115,1928
HVT-2116,1921
HVT-2117,1926
HVT-2118,1916
HVT-2119,1910
HVT-2120,1926
HVT-2121,1929
HVT-2122,1920
HVT-2123,1929
HVT-2124,1930
HVT-2125,1927
HVT-2126,1929
HVT-2127,1912
HVT-2128,1922
HVT-2130,1922
HVT-2131,1926
HVT-2132,1927
HVT-2133,1927
HVT-2134,1930
HVT-2135,1924
HVT-2136,1929
HVT-2137,1925
HVT-2138,1913
HVT-2139,1930
HVT-2140,1923
HVT-2141,1925
HVT-2142,1900
HVT-2143,1914
HVT-2144,1927
HVT-2145,1929
HVT-2146,1915
HVT-2147,1916
HVT-2148,1930
HVT-2149,1917
HVT-2150,1921
HVT-2151,1909
HVT-2152,
HVT-2153,1923
HVT-2154,1927
HVT-2155,1913
HVT-2156,1924
HVT-2157,1925
HVT-2158,1921
HVT-2159,1929
HVT-2160,1928
HVT-2161,1926
HVT-2162,1925
HVT-2163,1923
HVT-2164,
HVT-2165,1922
HVT-2166,
HVT-2167,
HVT-2168,1927
HVT-2169,1922
HVT-2170,1933
HVT-2171,1915
HVT-2172,1934
HVT-2173,1926
HVT-2174,1922
HVT-2175,1924
HVT-2176,1919
HVT-2177,1915
HVT-2178,1931
HVT-2179,1919
HVT-2180,1926
HVT-2181,1922
HVT-2182,1928
HVT-2183,1927
HVT-2184,1929
HVT-2185,1935
HVT-2186,1923
HVT-2187,1923
HVT-2188,1923
HVT-2189,1924
HVT-2190,1909
HVT-2191,1923
HVT-2192,1916
HVT-2193,1915
HVT-2194,1928
HVT-2195,
HVT-2196,1920
HVT-2197,
HVT-2198,
HVT-2199,1918
HVT-2200,1921
HVT-2201,
HVT-2202,
HVT-2203,
HVT-2204,
HVT-2205,1923
HVT-2206,1913
HVT-2207,1925
HVT-2208,1926
HVT-2209,
HVT-2210,1925
HVT-2211,
HVT-2212,
HVT-2213,
HVT-2214,
HVT-2215,1915
HVT-2216,1930
HVT-2217,1923
HVT-2218,
HVT-2219,
HVT-2221,1926
HVT-2222,1925
HVT-2223,1933
HVT-2224,1927
HVT-2225,1922
HVT-2226,1932
HVT-2227,1910
HVT-2228,1939
HVT-2229,1919
HVT-2230,1928
HVT-2231,1928
HVT-2232,1928
HVT-2233,1924
HVT-2234,1924
HVT-2235,1929
HVT-2236,1925
HVT-2237,1916
HVT-2238,
HVT-2239,
HVT-2240,1934
HVT-2241,1925
HVT-2242,1931
HVT-2243,1922
HVT-2244,1939
HVT-2245,1935
HVT-2246,1927
HVT-2247,1931
HVT-2248,1933
HVT-2249,1938
HVT-2250,1929
HVT-2251,1921
HVT-2252,1923
HVT-2253,1927
HVT-2254,1922
HVT-2255,1921
HVT-2256,1932
HVT-2257,1926
HVT-2258,1925
HVT-2259,1914
HVT-2260,1929
HVT-2261,1921
HVT-2262,1923
HVT-2263,1916
HVT-2264,
HVT-2265,1916
HVT-2266,1922
HVT-2267,1935
HVT-2268,1921
HVT-2269,1920
HVT-2270,1914
HVT-2271,1926
HVT-2272,1925
HVT-2273,1924
HVT-2274,1923
HVT-2275,1930
HVT-2276,1928
HVT-2277,1906
HVT-2278,1925
HVT-2279,1924
HVT-2280,1924
HVT-2281,1924
HVT-2282,1934
HVT-2283,1927
HVT-2284,1928
HVT-2285,
HVT-2286,1927
HVT-2287,1918
HVT-2288,1923
HVT-2289,1915
HVT-2290,1927
HVT-2291,1912
HVT-2292,1938
HVT-2293,1933
HVT-2294,1934
HVT-2295,1931
HVT-2296,1923
HVT-2297,1924
HVT-2298,1925
HVT-2299,1924
HVT-2300,1920
HVT-2301,1911
HVT-2302,1909
HVT-2303,1933
HVT-2304,1924
HVT-2305,1924
HVT-2306,1914
HVT-2307,1934
HVT-2308,1920
HVT-2310,1926
HVT-2311,1928
HVT-2312,1926
HVT-2313,1928
HVT-2314,1936
HVT-2315,1930
HVT-2316,1921
HVT-2317,1933
HVT-2318,1930
HVT-2319,1926
HVT-2320,1923
HVT-2321,1908
HVT-2322,1935
HVT-2324,1933
HVT-2325,1919
HVT-2326,1923
HVT-2327,1922
HVT-2328,1931
HVT-2329,1934
HVT-2330,
HVT-2331,1931
HVT-2332,
HVT-2333,1927
HVT-2334,1924
HVT-2335,
HVT-2336,1937
HVT-2337,1936
HVT-2338,1925
HVT-2339,1911
HVT-2340,1928
HVT-2341,
HVT-2342,1927
HVT-2343,1930
HVT-2344,1927
HVT-2345,1925
HVT-2346,1896
HVT-2347,
HVT-2348,1914
HVT-2349,1920
HVT-2350,1920
HVT-2351,1919
HVT-2352,1927
HVT-2353,1914
HVT-2354,1920
HVT-2355,
HVT-2356,1932
HVT-2357,1926
HVT-2358,1929
HVT-2359,1929
HVT-2360,1929
HVT-2361,1928
HVT-2362,1927
HVT-2363,1929
HVT-2364,1928
HVT-2365,1929
HVT-2366,1928
HVT-2367,1926
HVT-2368,1930
HVT-2369,1926
HVT-2370,1911
HVT-2371,1929
HVT-2372,1930
HVT-2373,1926
HVT-2374,1928
HVT-2375,1927
HVT-2376,1930
HVT-2377,1927
HVT-2378,1928
HVT-2379,1925
HVT-2380,1928
HVT-2381,1930
HVT-2382,1922
HVT-2383,1927
HVT-2384,1928
HVT-2385,1929
HVT-2386,1931
HVT-2387,1933
HVT-2388,1921
HVT-2389,1929
HVT-2390,1927
MS 1322,1928
HVT-2393,1927
HVT-2394,1912
HVT-2395,1911
HVT-2396,1922
HVT-2397,
HVT-2398,1909
HVT-2399,1923
HVT-2400,
HVT-2401,1928
HVT-2402,1922
HVT-2403,1929
HVT-2404,1927
HVT-2405,1927
HVT-2406,1935
HVT-2407,1921
HVT-2408,1910
HVT-2409,
HVT-2410,1918
HVT-2411,1920
HVT-2412,1920
HVT-2413,1925
HVT-2414,1922
HVT-2415,1926
HVT-2416,1927
HVT-2417,1933
HVT-2418,1923
HVT-2419,1928
HVT-2420,1928
HVT-2421,1921
HVT-2422,
HVT-2423,1933
HVT-2424,1928
HVT-2425,1939
HVT-2426,1925
HVT-2427,1926
HVT-2428,1924
HVT-2429,1927
HVT-2430,1920
HVT-2431,1927
HVT-2432,1913
HVT-2433,1929
HVT-2434,1927
HVT-2435,1920
HVT-2436,1922
HVT-2437,1921
HVT-2438,1918
HVT-2439,1924
HVT-2440,
HVT-2441,
HVT-2442,1918
HVT-2443,1936
HVT-2444,1903
HVT-2445,1922
HVT-2446,1909
HVT-2447,1935
HVT-2448,1917
HVT-2449,1915
HVT-2450,1919
HVT-2451,1924
HVT-2452,1931
HVT-2453,1925
HVT-2454,1928
HVT-2455,1924
HVT-2456,1928
HVT-2457,1936
HVT-2458,1921
HVT-2459,1934
HVT-2460,1930
HVT-2461,1923
HVT-2462,1926
HVT-2463,1922
HVT-2464,
HVT-2465,1921
HVT-2466,
HVT-2467,1921
HVT-2468,1936
HVT-2469,1925
HVT-2470,1922
HVT-2471,1927
HVT-2472,1924
HVT-2473,1924
HVT-2474,1921
HVT-2475,1922
HVT-2476,1922
HVT-2477,1920
HVT-2478,1931
HVT-2479,1933
HVT-2480,1926
HVT-2481,1925
HVT-2482,1925
HVT-2483,1931
HVT-2484,1921
HVT-2485,1927
HVT-2486,1923
HVT-2487,1915
HVT-2488,1919
HVT-2489,1939
HVT-2490,1930
HVT-2491,1935
HVT-2492,1935
MS 1322,1931
HVT-2495,1935
HVT-2496,1936
HVT-2497,1923
HVT-2498,1931
HVT-2499,1926
HVT-2500,1919
HVT-2502,1920
HVT-2503,1926
HVT-2504,1926
HVT-2505,1925
HVT-2506,1922
HVT-2507,1932
HVT-2508,1938
HVT-2509,1923
HVT-2510,1918
HVT-2511,1928
HVT-2512,1921
HVT-2513,1928
HVT-2514,1930
HVT-2515,1936
HVT-2516,1924
HVT-2517,1931
HVT-2518,1935
HVT-2519,1929
HVT-2520,1928
HVT-2521,1933
HVT-2522,1929
HVT-2523,1919
HVT-2524,1921
HVT-2525,1918
HVT-2526,1931
HVT-2527,1936
HVT-2528,1926
HVT-2529,1923
HVT-2530,1931
HVT-2531,1922
HVT-2532,1922
HVT-2533,1924
HVT-2534,1931
HVT-2535,1912
HVT-2536,1917
HVT-2537,1928
HVT-2538,1918
HVT-2539,1938
HVT-2540,1932
HVT-2541,1931
HVT-2542,1929
HVT-2543,1935
HVT-2544,1924
HVT-2545,1938
HVT-2546,1937
HVT-2547,1928
HVT-2548,1925
HVT-2549,
HVT-2550,1920
HVT-2551,1941
HVT-2552,
HVT-2553,1931
HVT-2554,1925
HVT-2555,1916
HVT-2556,1930
HVT-2557,1926
HVT-2558,1922
HVT-2559,1924
HVT-2560,1921
HVT-2561,1920
HVT-2562,1921
HVT-2563,1927
HVT-2564,1917
HVT-2565,1928
HVT-2566,1921
HVT-2567,1925
HVT-2568,1921
HVT-2569,1927
HVT-2570,1931
HVT-2571,1922
HVT-2572,1928
HVT-2573,1932
HVT-2574,1928
HVT-2575,1918
HVT-2576,1922
HVT-2577,1921
HVT-2578,1910
HVT-2579,1916
HVT-2580,1924
HVT-2581,1914
HVT-2582,1921
HVT-2583,1929
HVT-2584,1933
HVT-2585,1926
HVT-2586,1937
HVT-2587,1906
HVT-2588,1926
HVT-2589,1927
HVT-2590,1920
HVT-2591,1913
HVT-2592,1933
HVT-2593,1928
HVT-2594,1927
HVT-2595,1930
HVT-2596,1936
HVT-2597,1937
HVT-2598,
HVT-2599,1921
HVT-2600,1927
HVT-2601,
HVT-2602,1925
HVT-2603,1931
HVT-2604,1922
HVT-2605,1920
HVT-2606,1913
HVT-2607,1921
HVT-2608,1926
HVT-2609,1929
HVT-2610,1939
HVT-2611,1922
HVT-2612,1925
HVT-2613,1922
HVT-2614,1918
HVT-2615,1925
HVT-2616,1933
HVT-2617,1922
HVT-2618,1928
HVT-2619,1916
HVT-2620,1924
HVT-2621,1921
HVT-2622,1922
HVT-2623,1922
HVT-2624,1922
HVT-2625,1920
HVT-2626,1924
HVT-2627,1934
HVT-2628,1920
HVT-2629,1929
HVT-2630,1937
HVT-2631,1922
HVT-2632,1920
HVT-2633,1919
HVT-2634,1929
HVT-2635,1932
HVT-2636,1931
HVT-2637,1925
HVT-2638,1933
HVT-2639,1929
HVT-2640,1929
HVT-2641,1910
HVT-2642,1923
HVT-2643,1924
HVT-2644,1930
HVT-2645,1919
HVT-2646,1925
HVT-2647,1925
HVT-2648,1926
HVT-2649,1921
HVT-2650,1929
HVT-2651,1911
HVT-2652,
HVT-2653,1927
HVT-2654,1924
HVT-2655,1925
HVT-2656,1919
HVT-2657,1932
HVT-2658,1912
HVT-2659,1924
HVT-2660,1919
HVT-2661,1923
HVT-2662,1937
HVT-2663,1940
HVT-2664,1937
HVT-2665,1925
HVT-2666,1917
HVT-2667,1923
HVT-2668,1935
HVT-2669,1916
HVT-2670,1923
HVT-2671,1910
HVT-2672,
HVT-2673,1923
HVT-2674,1920
HVT-2675,1914
HVT-2676,1924
HVT-2677,1922
HVT-2678,1926
HVT-2679,1924
HVT-2680,1918
HVT-2681,1922
HVT-2682,1929
HVT-2683,1920
HVT-2684,1923
HVT-2685,1928
HVT-2686,1923
HVT-2687,1935
HVT-2688,1923
HVT-2689,1923
HVT-2690,1930
HVT-2691,1912
HVT-2692,1931
HVT-2693,1909
HVT-2694,
HVT-2695,1927
HVT-2696,1930
HVT-2697,1937
HVT-2698,1933
HVT-2699,1928
HVT-2700,1919
HVT-2701,1924
HVT-2702,1925
HVT-2703,1925
HVT-2704,1925
HVT-2705,1929
HVT-2706,1925
HVT-2707,1920
HVT-2708,1907
HVT-2709,1930
HVT-2710,1925
HVT-2711,1921
HVT-2712,1924
HVT-2713,1926
HVT-2714,1929
HVT-2715,1929
HVT-2717,1924
HVT-2718,1924
HVT-2719,1928
HVT-2720,1930
HVT-2721,1923
HVT-2722,1925
HVT-2723,
HVT-2724,
HVT-2725,1936
HVT-2726,1926
HVT-2727,1924
HVT-2728,1927
HVT-2729,1924
HVT-2730,1928
HVT-2731,1932
HVT-2732,1916
HVT-2733,1919
HVT-2734,1922
HVT-2736,1928
HVT-2737,1917
HVT-2738,1926
HVT-2739,1923
HVT-2740,1929
HVT-2741,1924
HVT-2742,1933
HVT-2743,1924
HVT-2744,1922
HVT-2745,1923
HVT-2746,1919
HVT-2747,1929
HVT-2748,1922
HVT-2749,1923
HVT-2751,1925
HVT-2752,1920
HVT-2753,1910
HVT-2754,1911
HVT-2755,1925
HVT-2756,
HVT-2757,1917
HVT-2758,1927
HVT-2759,1913
HVT-2760,1892
HVT-2761,1924
HVT-2762,1927
HVT-2763,1932
HVT-2764,1927
HVT-2765,1926
HVT-2766,1924
HVT-2767,
HVT-2768,
HVT-2769,
HVT-2770,1927
HVT-2771,1923
HVT-2772,1926
HVT-2773,1921
HVT-2774,
HVT-2775,1942
HVT-2776,1916
HVT-2777,1920
HVT-2778,1918
HVT-2779,1923
HVT-2780,1944
HVT-2781,1929
HVT-2782,1930
HVT-2783,
HVT-2784,1927
HVT-2785,1918
HVT-2786,1926
HVT-2787,1923
HVT-2789,1914
HVT-2790,1916
HVT-2791,1912
HVT-2792,1916
HVT-2793,1903
HVT-2794,1929
HVT-2795,1925
HVT-2796,
HVT-2797,1928
HVT-2798,1933
HVT-2799,1918
HVT-2800,1918
HVT-2801,1929
HVT-2802,1914
HVT-2803,1927
HVT-2804,
HVT-2805,1931
HVT-2806,
HVT-2807,1915
HVT-2808,1924
HVT-2809,1920
HVT-2810,
HVT-2811,1930
HVT-2812,
HVT-2813,
HVT-2814,
HVT-2815,1937
HVT-2816,1915
HVT-2817,1922
HVT-2818,1930
HVT-2819,1933
HVT-2820,1918
HVT-2821,1927
HVT-2822,1928
HVT-2823,1923
HVT-2824,1922
HVT-2825,1924
HVT-2826,1928
HVT-2827,1918
HVT-2828,
HVT-2829,1927
HVT-2830,1917
HVT-2831,1918
HVT-2832,1923
HVT-2833,1918
HVT-2834,
HVT-2835,1926
HVT-2836,1923
HVT-2837,1925
HVT-2838,1924
HVT-2839,1927
HVT-2840,1910
HVT-2841,1931
HVT-2842,1925
HVT-2843,1924
HVT-2844,1928
HVT-2845,1923
HVT-2846,
HVT-2847,1925
HVT-2848,1922
HVT-2849,1921
HVT-2850,1931
HVT-2851,1929
HVT-2852,1929
HVT-2853,1926
HVT-2854,1927
HVT-2855,1926
HVT-2856,1922
HVT-2857,1914
HVT-2858,1924
HVT-2859,1922
HVT-2860,1931
HVT-2861,1918
HVT-2862,1923
HVT-2863,1929
HVT-2864,1927
HVT-2865,1918
HVT-2866,1927
HVT-2867,1922
HVT-2868,1926
HVT-2869,1923
HVT-2870,1921
HVT-2871,
HVT-2872,1912
HVT-2873,1921
HVT-2874,1916
HVT-2875,1926
HVT-2876,1921
HVT-2877,1920
HVT-2878,1912
HVT-2879,1918
HVT-2880,1926
HVT-2881,1919
HVT-2882,1923
HVT-2883,1913
HVT-2884,1916
HVT-2885,1929
HVT-2886,1912
HVT-2887,1919
HVT-2888,1925
HVT-2889,1908
HVT-2890,1931
HVT-2891,1918
HVT-2892,1915
HVT-2893,1907
HVT-2894,1936
HVT-2895,1923
HVT-2896,1912
HVT-2897,1926
HVT-2898,1924
HVT-2899,1928
HVT-2900,1913
HVT-2901,1923
HVT-2902,1926
HVT-2903,1919
HVT-2904,1924
HVT-2905,1920
HVT-2906,1923
HVT-2907,1907
HVT-2908,1926
HVT-2909,1916
HVT-2910,1919
HVT-2911,1930
HVT-2912,1922
HVT-2913,1920
HVT-2914,1924
HVT-2915,1939
HVT-2916,1917
HVT-2917,1932
HVT-2918,1922
HVT-2919,1911
HVT-2920,1924
HVT-2921,1920
HVT-2922,1915
HVT-2923,1915
HVT-2924,1919
HVT-2925,1934
HVT-2926,1936
HVT-2927,1901
HVT-2928,1918
HVT-2929,1923
HVT-2930,1918
HVT-2931,1912
HVT-2932,1932
HVT-2933,1924
HVT-2934,1924
HVT-2935,1920
HVT-2936,1912
HVT-2937,1924
HVT-2938,1927
HVT-2939,1921
HVT-2940,1917
HVT-2941,1914
HVT-2942,1909
HVT-2943,1919
HVT-2944,1912
HVT-2945,1930
HVT-2946,1925
HVT-2947,1912
HVT-2948,1909
HVT-2949,1923
HVT-2950,1922
HVT-2951,1919
HVT-2952,1925
HVT-2953,1917
HVT-2954,1923
HVT-2955,1911
HVT-2956,1916
HVT-2957,1923
HVT-2958,1911
HVT-2959,
HVT-2960,1936
HVT-2961,1926
HVT-2962,1930
HVT-2963,1927
HVT-2964,1926
HVT-2965,1936
HVT-2966,1919
HVT-2967,1924
HVT-2968,1928
HVT-2969,1920
HVT-2970,1918
HVT-2971,1923
HVT-2972,1908
HVT-2973,1926
HVT-2974,1921
HVT-2975,1913
HVT-2976,1914
HVT-2977,1908
HVT-2978,1918
HVT-2979,1924
HVT-2980,1923
HVT-2981,1921
HVT-2982,1922
HVT-2983,1918
HVT-2984,1926
HVT-2985,1922
HVT-2986,1928
HVT-2987,1923
HVT-2988,1923
HVT-2989,1921
HVT-2990,1916
HVT-2991,1925
HVT-2992,1921
HVT-2993,1915
HVT-2994,1920
HVT-2995,1924
HVT-2996,1921
HVT-2997,1923
HVT-2998,1923
