testimony_id,interviewee_year_of_birth
HVT-374,
HVT-375,1908
HVT-376,1918
HVT-377,1923
HVT-378,1922
HVT-379,1924
HVT-380,
HVT-381,1927
HVT-382,
HVT-383,
HVT-384,1922
HVT-385,
HVT-386,1919
HVT-387,
HVT-388,
HVT-389,
HVT-390,
HVT-391,
HVT-392,1926
HVT-393,1933
HVT-394,
HVT-395,
HVT-396,
HVT-397,
HVT-398,1923
HVT-399,1934
HVT-400,1927
HVT-401,1923
HVT-402,1924
HVT-403,
HVT-404,1920
HVT-405,1919
HVT-406,1924
HVT-407,1928
HVT-408,
HVT-409,1924
HVT-410,1930
HVT-411,1909
HVT-412,
HVT-413,
HVT-414,
HVT-415,1932
HVT-416,1921
HVT-417,1926
HVT-418,
HVT-419,1930
HVT-420,
HVT-421,1905
HVT-422,
HVT-423,1928
HVT-424,1921
HVT-425,
HVT-426,1925
HVT-427,1914
HVT-428,
HVT-429,1922
HVT-430,
HVT-431,
HVT-432,
HVT-433,1913
HVT-434,1920
HVT-435,1923
HVT-436,1925
HVT-437,1894
HVT-438,
HVT-439,1909
HVT-440,
HVT-441,
HVT-442,1923
HVT-443,1911
HVT-444,1922
HVT-445,
HVT-446,1924
HVT-447,1940
HVT-448,1924
HVT-449,
HVT-450,1928
HVT-451,1931
HVT-452,
HVT-453,1920
HVT-454,1928
HVT-455,1925
HVT-456,
HVT-457,1925
HVT-458,
HVT-459,
HVT-460,1914
HVT-461,
HVT-462,1928
HVT-463,
HVT-464,
HVT-465,
HVT-466,
HVT-467,1913
HVT-468,
HVT-469,
HVT-470,1925
HVT-471,
HVT-472,
HVT-473,
HVT-474,
HVT-475,1923
HVT-476,
HVT-477,
HVT-478,1919
HVT-479,1916
HVT-480,
HVT-481,
HVT-482,
HVT-483,
HVT-484,1924
HVT-485,
HVT-486,
HVT-487,
HVT-488,1924
HVT-489,1930
HVT-490,1917
HVT-491,
HVT-492,
HVT-493,1921
HVT-494,1930
HVT-495,1929
HVT-496,
HVT-497,
HVT-498,
HVT-499,
HVT-500,1923
HVT-501,1928
HVT-502,1918
HVT-503,
HVT-504,
HVT-505,
HVT-506,
HVT-507,1917
HVT-508,1923
HVT-509,1916
HVT-510,1923
HVT-511,1912
HVT-512,1924
HVT-513,
HVT-514,
HVT-515,
HVT-516,1940
HVT-517,
HVT-518,
HVT-519,1920
HVT-520,
HVT-521,1917
HVT-522,
HVT-523,
HVT-524,
HVT-525,
HVT-526,
HVT-527,1935
HVT-528,1927
HVT-529,1910
HVT-530,
HVT-531,1943
HVT-532,1916
HVT-533,1924
HVT-534,1902
HVT-535,1915
HVT-536,1922
HVT-537,
HVT-538,1919
HVT-539,1907
HVT-540,1920
HVT-541,1915
HVT-542,1938
HVT-543,1938
HVT-544,1938
HVT-545,1913
HVT-546,1917
HVT-547,1923
HVT-548,1924
HVT-549,1929
HVT-550,
HVT-551,1919
HVT-552,1938
HVT-553,1928
HVT-554,1923
HVT-555,
HVT-556,
HVT-558,1906
HVT-559,1927
HVT-560,1923
HVT-561,1921
HVT-562,
HVT-563,1922
HVT-564,1929
HVT-565,1925
HVT-566,1923
HVT-567,1926
HVT-568,1916
HVT-569,1915
HVT-570,
HVT-571,1905
HVT-572,1912
HVT-573,1906
HVT-574,1908
HVT-575,1912
HVT-576,1928
HVT-577,1920
HVT-578,1924
HVT-579,1925
HVT-580,1915
HVT-581,1921
HVT-582,1913
HVT-583,1910
HVT-584,1927
HVT-585,1906
HVT-586,1908
HVT-587,1922
HVT-588,
HVT-589,1921
HVT-590,
HVT-591,1934
HVT-592,1920
HVT-593,1937
HVT-594,1933
HVT-595,
HVT-596,1907
HVT-597,1934
HVT-598,1919
HVT-599,1929
HVT-600,1910
HVT-601,1912
HVT-602,1910
HVT-603,
HVT-604,
HVT-605,
HVT-606,1896
HVT-607,
HVT-608,
HVT-609,1913
HVT-611,
HVT-612,1911
HVT-613,1923
HVT-614,1913
HVT-615,1924
HVT-616,1925
HVT-617,1923
HVT-618,1933
HVT-619,1914
HVT-620,1913
HVT-621,1909
HVT-622,1924
HVT-623,1931
HVT-624,1910
HVT-625,1908
HVT-626,1928
HVT-627,1916
HVT-628,1919
HVT-629,1926
HVT-630,1906
HVT-631,1922
HVT-632,1923
HVT-633,1924
HVT-634,1920
HVT-635,1922
HVT-636,1929
HVT-637,1930
HVT-638,1924
HVT-639,1908
HVT-640,1927
HVT-641,1933
HVT-642,1920
HVT-643,1928
HVT-644,
HVT-645,1917
HVT-646,1927
HVT-647,1924
HVT-648,1904
HVT-649,1926
HVT-650,
HVT-651,1919
HVT-652,
HVT-653,
HVT-654,1913
HVT-655,1921
HVT-656,1954
HVT-657,1921
HVT-658,1935
HVT-659,1925
HVT-660,1931
HVT-661,1920
HVT-662,1917
HVT-663,1928
HVT-664,1909
HVT-665,1926
HVT-666,1926
HVT-667,1927
HVT-668,1927
HVT-669,1920
HVT-670,1923
HVT-671,1925
HVT-672,1927
HVT-673,1925
HVT-674,1927
HVT-675,1926
HVT-676,1915
HVT-677,1918
HVT-678,1925
HVT-679,1911
HVT-680,1929
HVT-681,1917
HVT-682,1915
HVT-683,
HVT-684,1938
HVT-685,1910
HVT-686,1922
HVT-687,1925
HVT-688,1921
HVT-689,1926
HVT-690,1919
HVT-691,1913
HVT-692,1920
HVT-693,1910
HVT-694,1929
HVT-695,1904
HVT-696,1915
HVT-697,1919
HVT-698,1931
HVT-699,1910
HVT-700,1926
HVT-701,1919
HVT-702,1928
HVT-703,
HVT-704,1920
HVT-705,1924
HVT-706,1929
HVT-707,1923
HVT-708,1927
HVT-709,1900
HVT-710,1924
HVT-711,1925
HVT-712,1925
HVT-713,1924
HVT-714,1927
HVT-715,1922
HVT-717,1922
HVT-718,
HVT-719,1938
HVT-720,
HVT-721,1907
HVT-722,
HVT-723,1915
HVT-724,
HVT-725,1924
HVT-726,
HVT-727,
HVT-728,1921
HVT-729,1924
HVT-730,
HVT-731,
HVT-732,
HVT-733,1917
HVT-734,1928
HVT-735,1920
HVT-736,1918
HVT-737,1922
HVT-738,
HVT-747,1912
HVT-748,1924
HVT-749,
HVT-750,1913
HVT-751,1924
HVT-752,1926
HVT-753,1930
HVT-754,1920
HVT-755,1924
HVT-756,1916
HVT-757,
HVT-758,1919
HVT-759,1917
HVT-760,1918
HVT-761,
HVT-762,1927
HVT-763,1907
HVT-764,1911
HVT-765,1923
HVT-766,1926
HVT-767,1938
HVT-768,1918
HVT-769,1892
HVT-770,1930
HVT-771,1928
HVT-772,1920
HVT-773,1925
HVT-774,1908
HVT-775,1940
HVT-776,1926
HVT-777,1909
HVT-778,1920
HVT-779,1911
HVT-780,1925
HVT-781,1922
HVT-782,1925
HVT-783,1912
HVT-784,1923
HVT-785,1924
HVT-786,1911
HVT-787,1931
HVT-788,1925
HVT-789,1921
HVT-790,1928
HVT-791,1915
HVT-792,1913
HVT-793,
HVT-794,1904
HVT-795,1908
HVT-796,1922
HVT-797,1918
HVT-798,1926
HVT-799,1927
HVT-800,
HVT-801,1915
HVT-802,1910
HVT-803,1932
HVT-804,1928
HVT-805,
HVT-806,1909
HVT-807,1922
HVT-808,1914
HVT-809,
HVT-810,1924
HVT-811,1919
HVT-812,
HVT-813,1926
HVT-814,1920
HVT-815,1918
HVT-816,1922
HVT-817,1911
HVT-818,
HVT-819,1922
HVT-820,1921
HVT-821,
HVT-822,
HVT-823,
HVT-824,1920
HVT-825,1922
HVT-826,1921
HVT-827,1923
HVT-828,1925
HVT-829,1915
HVT-830,1940
HVT-831,1919
HVT-832,1905
HVT-833,1929
HVT-834,1914
HVT-835,1927
HVT-836,1909
HVT-837,1910
HVT-838,1936
HVT-839,1922
HVT-840,1922
HVT-841,1921
HVT-842,1922
HVT-843,1928
HVT-844,1927
HVT-845,1925
HVT-846,1915
HVT-847,1921
HVT-848,1910
HVT-849,1930
HVT-850,1926
HVT-851,1933
HVT-852,1925
HVT-853,
HVT-854,1907
HVT-855,1916
HVT-856,1910
HVT-857,1918
HVT-858,1921
HVT-860,
HVT-861,1935
HVT-862,1938
HVT-863,1916
HVT-864,1916
HVT-865,1921
HVT-866,1922
HVT-867,1910
HVT-868,1926
HVT-869,1932
HVT-871,1916
HVT-872,1930
HVT-873,
HVT-874,1930
HVT-875,1930
HVT-876,1934
HVT-877,1926
HVT-878,1929
HVT-879,1921
HVT-880,1930
HVT-881,1923
HVT-882,1927
HVT-883,1923
HVT-884,1927
HVT-885,1910
HVT-886,1914
HVT-887,1910
HVT-888,1920
HVT-889,1912
HVT-890,1924
HVT-891,1921
HVT-892,1918
HVT-893,1908
HVT-894,1923
HVT-895,1925
HVT-896,1923
HVT-897,1935
HVT-898,1912
HVT-899,1925
HVT-900,1922
HVT-901,1914
HVT-902,1908
HVT-903,1914
HVT-904,1916
HVT-905,
HVT-906,1926
HVT-907,1928
HVT-908,
HVT-909,1913
HVT-911,1924
HVT-912,
HVT-913,
HVT-914,1929
HVT-915,1922
HVT-916,1903
HVT-917,1925
HVT-918,1929
HVT-919,1925
HVT-920,1921
HVT-921,1915
HVT-922,1920
HVT-923,1927
HVT-924,1922
HVT-925,1911
HVT-926,1915
HVT-927,1915
HVT-928,1916
HVT-929,1922
HVT-930,1913
HVT-931,1923
HVT-932,1923
HVT-933,1937
HVT-934,1937
HVT-935,1926
HVT-936,1905
HVT-937,1912
HVT-938,1927
HVT-939,
HVT-940,1910
HVT-941,1910
HVT-942,1923
HVT-943,1909
HVT-944,1911
HVT-945,1925
HVT-946,1924
HVT-947,1924
HVT-948,1927
HVT-949,1920
HVT-950,1913
HVT-951,1935
HVT-952,1923
HVT-953,1925
HVT-954,1905
HVT-955,1919
HVT-956,1924
HVT-957,1913
HVT-958,1924
HVT-959,1918
HVT-960,1912
HVT-961,
HVT-962,1924
HVT-963,1916
HVT-964,1937
HVT-965,1930
HVT-966,1924
HVT-967,1915
HVT-968,1928
HVT-969,1939
HVT-970,1923
HVT-971,1923
HVT-972,1926
HVT-973,1925
HVT-974,1920
HVT-975,1922
HVT-976,1932
HVT-977,1923
HVT-978,
HVT-979,1921
HVT-980,1923
HVT-981,1918
HVT-982,1916
HVT-983,1930
HVT-984,1917
HVT-985,1929
HVT-986,1921
HVT-987,1916
HVT-988,1922
HVT-989,1914
HVT-990,1920
HVT-991,
HVT-992,1908
HVT-993,1924
HVT-994,1901
HVT-995,1913
HVT-996,1923
HVT-997,1917
HVT-998,1920
HVT-999,1920
HVT-1000,1914
HVT-1001,1923
HVT-1002,
HVT-1003,1919
HVT-1004,1919
HVT-1005,1932
HVT-1006,1926
HVT-1007,1914
HVT-1008,1941
HVT-1009,
HVT-1010,
HVT-1011,1929
HVT-1012,1925
HVT-1013,1923
